KLHL21,LZIC,NLRP6,MIR4537,HBA1,NFIX,JUND,MIR663AHG,MIR5009,PXK,KANTR,Results
544.313046,98.0505487,169.0709461,4.240023728,240.0913436,95.40053387,200.8711241,524.7029363,1,307.4017203,49.8202788,1
245.6873439,121.4787423,117.3839532,2.729859376,51.86732815,76.43606254,221.1186095,637.4221644,1,267.5262189,72.34127348,1
308.1825037,128.4093765,101.1710239,21.01244343,842.8324532,203.1202865,317.5213674,388.3410842,1,277.0529578,77.82386456,1
397.4776156,110.0707243,169.6923667,19.10950075,412.7652162,142.1746856,221.6702087,430.3459569,1,259.8892102,53.5066021,1
589.7392303,109.2544789,371.2302725,9.398234746,491.0577655,148.0221973,231.4315306,240.8297654,1.174779343,619.1087139,35.2433803,1
231.2666475,96.36110311,211.9944268,9.636110311,119613.0373,587.802729,337.2638609,1985.038724,1,279.447199,77.08888249,1
336.5127303,142.9743206,115.0768922,26.15383914,169.1281598,85.43587453,129.0256064,183.076874,1,357.4358016,95.89741019,1
420.2725143,129.0724576,135.368675,7.870271803,319.5330352,161.340572,189.6735504,290.4130295,1,236.8951813,43.28649492,1
218.0172012,140.5291598,47.28083882,9.193496437,550.2964296,63.04111843,197.0034951,717.0927221,1,333.592585,89.30825111,1
310.6655257,113.1946197,202.4283346,3.304952401,530.4448604,93.36490533,171.0312868,78.49261953,1,257.7862873,43.79061932,1
522.8323972,157.1519344,181.3291551,6.04430517,586.2976015,256.8829697,761.5824515,803.8925877,1,265.9494275,87.64242497,1
245.4065565,104.0133749,86.13607611,4.875626949,2574.331029,118.6402558,186.8990331,469.6853961,1,286.036781,89.38649407,1
250.3288121,115.4366025,115.4366025,5.188161908,230.8732049,77.82242862,190.6649501,543.4599599,1,175.1004644,57.06978099,1
164.4927144,157.9503905,114.9579765,6.542323868,120.5656827,117.7618296,351.4162535,1038.36026,1,284.1237794,76.63865103,1
389.1091962,106.6912312,182.0026886,21.96584172,7389.936751,84.7253895,241.6242589,668.3891838,1,197.6925755,84.7253895,1
307.8441086,127.2350431,286.8179786,8.086973079,55.53054848,69.54796848,236.6787455,222.1221939,1,267.4092432,78.71320464,1
215.9605658,166.6247469,114.4963345,21.40988368,774.4792706,430.0594027,506.3902923,2729.294737,1,277.3976234,88.43212825,1
385.8834067,118.4626872,290.8786774,8.210285249,6337.167314,96.1776272,315.5095331,1243.271766,1.172897893,222.8505996,96.1776272,1
218.8757784,160.1530086,113.4417144,2.66921681,28.69408071,68.73233286,80.74380851,121.4493649,1,208.1989112,32.69790593,1
395.5771264,116.0525955,124.787737,2.495754741,5580.507601,141.0101429,254.5669836,457.970995,1,260.8063704,37.43632111,1
434.4496898,162.0643787,228.4521964,1.952582876,4231.247091,213.8078249,290.9348485,1430.266956,1,219.6655735,47.83828045,1
390.4524853,126.4936977,198.1304347,4.517632061,212.3287069,92.93414525,238.7891232,373.672709,1,296.227588,41.94944057,1
293.7169567,153.4342311,226.0110579,14.12569112,559.1825311,129.0795912,246.4689553,314.1748541,1,271.7977808,73.06391957,1
271.041918,152.0992511,96.8382775,14.73625962,381.5638651,91.04903264,145.7837112,167.8881007,1,253.6741834,75.78647804,0
298.4043093,213.1459352,147.5625705,3.279168234,28335.29271,144.2834023,216.4251034,780.4420397,1,200.0292623,59.02502821,0
343.6369211,112.5707155,101.3794748,6.583082779,48.05650429,39.49849667,122.4453397,72.41391057,1,246.8656042,65.17251951,0
271.0089456,129.612974,42.22240819,6.873415288,51.05965642,108.0108117,119.7938093,91.31823168,1,229.7684539,81.49906698,0
379.5967467,109.0795249,125.4414536,1.090795249,47.99499096,38.17783371,97.08077716,70.90169118,1,245.428931,53.4489672,0
205.7270191,149.0039315,71.96212602,6.772905978,31.32469015,76.19519225,111.7529486,75.34857901,1,180.3286217,81.27487174,0
485.1479808,116.894987,197.3025214,5.405548533,207.4379249,95.27279289,170.9504724,185.1400372,1,322.3058313,65.54227596,0
296.9448023,145.0195546,149.62335,5.754744231,47.18890269,72.50977731,118.5477312,47.18890269,1,252.0577973,59.84934,0
198.4123391,135.2811403,94.69679821,11.27342836,38.32965642,45.65738485,100.8971838,197.8486677,1,190.5209393,79.47766992,0
229.3004877,118.1244936,70.87469619,2.77939985,30.57339835,79.21289574,59.75709678,23.62489873,1,230.6901876,80.60259566,0
294.0515912,148.7555108,166.9175209,5.189145727,51.02659965,112.4314908,141.8366499,53.62117251,1,253.403283,70.05346732,0
364.68398,118.7622172,251.9198546,10.7965652,1233.207669,286.7087869,334.6935211,530.231313,1,283.1099318,70.77748296,0
500.095314,124.3391416,187.8780862,2.738747612,1417.575764,160.4906101,311.6694783,203.2150728,1,329.197463,55.32270177,0
399.5032196,106.7902837,163.6426649,15.36550845,292.7129359,96.80270321,208.9709149,766.7388714,1,255.8357156,71.44961427,0
263.1726205,134.9603182,93.12261957,5.398412729,53.98412729,157.9035723,167.3507946,85.02500048,1,201.0908741,47.23611138,0
513.7115232,108.3534663,295.0697073,35.79534154,511.7766398,296.0371489,562.0836063,2354.753008,1,240.8929741,79.33021638,0
521.7995636,98.15316826,370.2395244,7.217144725,43.30286835,115.4743156,230.2269167,163.8291853,1,272.8080706,68.56287489,0
329.373008,143.927701,73.34777068,4.151760604,55.35680806,154.9990626,102.4100949,26.29448383,1,318.3016463,55.35680806,0
320.9684808,132.9351746,164.4198212,4.372867586,37.60666124,37.60666124,152.175792,72.58960192,1,244.0060113,81.33533709,0
414.8111878,95.55065752,189.5846379,5.308369862,21.23347945,70.52548531,153.1843875,152.4260489,1,272.2435401,76.59219373,0
292.6605965,160.4548444,162.7147718,4.519854772,27.11912863,53.67327542,134.4656795,192.0938278,1,227.1227023,58.19313019,0
154.2903961,133.1547254,20.07888717,3.698742373,31.70350605,32.76028959,110.9622712,155.8755714,1,150.5916538,63.93540388,0
294.7984292,151.4653998,127.0682884,5.082731538,102.6711771,40.6618523,153.4984924,312.0797164,1,351.7250224,51.84386169,0
271.4700958,129.8969813,89.51702084,1,42.81248823,86.111482,114.3288038,65.67824899,1,243.7392796,98.76062625,0
390.9959465,129.9553001,117.5247932,1,32.77133656,48.59198179,87.01354879,28.2511522,1,245.2200011,81.36331835,0
256.4876732,144.7770141,134.0527909,7.149482179,49.15268998,87.58115669,142.0959583,84.90010087,1,252.0192468,54.51480161,0
283.3986089,124.3483692,166.7617664,4.819704232,36.62975217,91.57438042,134.9517185,81.93497195,1,274.7231412,65.54797756,0
485.1834573,118.8489737,152.406331,15.38045542,583.0590827,152.406331,336.971796,542.5106093,1,233.5032777,82.49516997,0
389.3816167,134.896334,123.415795,3.826846355,47.83557944,69.83994598,118.632237,72.71008075,1,329.1087866,65.05638804,0
302.6081069,112.8025756,103.3460722,2.701858098,27.01858098,77.00295578,88.4858527,29.04497455,1,208.718538,68.89738149,0
594.9358343,143.325451,302.8764247,12.16914206,1083.053644,246.0870951,617.9219915,1135.786593,1,274.4817599,58.14145653,0
355.3619255,118.4539752,129.3366725,10.0455668,601.0597468,246.5349519,336.5264878,744.2090737,1,211.3754681,70.73753288,0
263.006635,203.61804,186.64987,8.484084999,29880.94736,175.3377566,339.3633999,3003.366089,1,254.52255,65.04465166,0
214.9120171,143.8523986,108.3225893,11.26554929,704.5301207,144.7189793,158.5842707,220.9780821,1,207.1127907,71.05961857,0
388.4275862,81.44449389,125.2992214,12.52992214,79214.16775,294.4531702,338.3078977,1547.445384,1,325.7779756,56.38464962,0
95.68287945,278.1479054,5.006662297,2.781479054,8.344437161,10.01332459,110.1465705,38.38441094,1,134.6235862,10.01332459,0
244.442212,130.8176975,27.65859891,2.242589101,46.34684141,82.97579673,138.2929945,101.6640392,1,190.6200736,65.78261362,0
296.915885,156.0879395,85.01996706,3.487998649,34.44398665,36.18798598,70.1959728,17.00399341,1,224.1039132,55.37197855,0
261.9596565,122.0649708,115.2073882,2.743033052,30.63053575,39.31680708,91.89160724,47.54590623,1,203.441618,59.88955497,0
392.8524391,112.0301632,103.0677502,7.468677549,222.5665909,92.6116016,110.5364277,25.39350367,1,318.1656636,80.66171753,0
301.6493863,121.3338314,112.9078709,2.106490128,46.34278282,76.25494263,107.8522946,65.30119397,1,234.2417022,76.67624066,0
113.8434263,337.6711797,6.753423593,1,5.788648794,6.753423593,124.4559491,148.5753191,1,92.61838071,13.50684719,0
247.5193664,126.1095506,53.26366112,3.916445671,29.7649871,38.38116757,86.94509389,32.1148545,1,177.8066334,46.99734805,0
300.2199503,153.691775,126.9910853,5.209890678,51.44767045,76.8458875,110.0589406,64.47239714,1,184.9511191,51.44767045,0
277.5779403,99.67571491,478.191088,39.11325522,2740.451301,934.9329715,963.9524835,4215.399538,1,248.5584283,85.7968179,0
326.4870271,113.6086615,123.5356319,2.205993426,909.9722883,88.23973705,221.7023393,525.0264354,1,322.0750402,97.06371075,0
293.6742813,467.9841772,532.4030518,34.10411008,2561.597602,3351.676152,2298.238085,4194.80554,1,217.88737,68.20822016,0
260.4425173,144.0997148,128.1542546,5.905726017,37.20607391,51.37981635,96.85390667,98.03505188,1,215.5589996,44.29294513,0
378.9389161,108.4201106,185.4834246,22.85325861,247.6655468,147.2175032,375.7500893,1348.342258,1,223.2178748,60.05623776,0
66.37088021,230.5514786,17.96505028,1.996116698,12.97475854,11.97670019,136.7339938,8.483495967,1,136.7339938,10.97864184,0
300.7058349,135.2868787,69.48826042,6.149403577,34.43666003,110.6892644,155.5799105,92.85599401,1,242.2865009,71.94802185,0
329.0416558,100.3640572,199.4576832,5.081724414,47.64116638,69.87371069,204.5394076,151.8165169,1,219.7845809,45.10030417,0
376.7395206,131.5598326,160.7953509,3.986661594,35.21551074,120.928735,269.0996576,197.3397489,1,337.5373483,64.4510291,0
296.3798077,136.2115052,152.6390234,4.106879553,43.1222353,70.50143232,156.061423,169.7510215,1,239.5679739,65.71007284,0
174.2429958,106.9719658,13.23364525,4.411215084,23.71028108,33.08411313,76.0934602,83.81308659,1,186.9252392,75.54205831,0
353.8350409,222.4711335,845.3903073,31.7815905,2637.872011,2760.760828,1027.604759,7208.064725,1,222.4711335,84.750908,0
268.7634906,134.3817453,56.54677402,5.32204932,23.28396577,55.88151786,87.81381378,25.94499043,1,205.564155,93.1358631,0
293.7160371,113.0077661,73.9497824,1.562319346,46.86958039,42.70339547,86.96911029,51.55653843,1,198.414557,67.1797319,0
394.8370289,111.985941,185.8735721,5.772471183,47.3342637,51.95224065,132.7668372,53.10673489,1,279.3876053,51.95224065,0
282.2085909,124.9406455,124.0669347,3.494843231,34.0747215,78.63397269,115.3298266,143.2885725,1,180.8581372,64.65459977,0
473.9666121,101.0907809,140.8642029,32.31590537,364.5897016,143.3500418,358.7894109,1080.511298,1,223.7254987,70.43210145,0
322.6732685,110.4407476,119.0897218,1,35.92650825,41.24895391,96.4693277,71.85301649,1,277.4324804,81.16729641,0
254.279318,135.2059213,94.49050184,11.52323193,42.25185042,87.57656268,150.5702306,76.05333075,1,185.1399264,71.44403798,0
791.9376109,282.834861,848.5045831,36.89150361,3010.346695,2319.245861,1797.845943,4114.63237,1,282.834861,68.86414008,0
379.7136999,121.3747604,162.5753671,14.47588885,4447.438467,143.6453586,301.7666061,3204.739086,1,247.2036404,93.53651258,0
351.9983789,111.1573828,206.4351395,5.293208706,22607.29438,285.8332701,381.1110268,1196.265167,1,201.1419308,55.57869141,0
